journal,title,year,doi,novel_taxon,geography,age1,age2
JVP,"The first geikiid dicynodont, Aulacephalodon kapoliwacela, sp. nov. (Therapsida, Anomodontia), from the upper Madumabisa Mudstone Formation, Zambia",2025,10.1080/02724634.2024.2446603,Aulacephalodon kapoliwacela,Zambia,Paleozoic,Permian
JVP,"Dicynodontoides kubwa, sp. nov. (Synapsida: Anomodontia), a new large emydopoid from the base of the Usili Formation (Ruhuhu Basin, Tanzania)",2025,10.1080/02724634.2024.2440112,Dicynodontoides kubwa,Tanzania,Paleozoic,Permian
JVP,"Arctops umulunshi, sp. nov. (Therapsida: Gorgonopsia) from the upper Madumabisa Mudstone Formation of Zambia, with new information on gorgonopsian postcranial anatomy",2025,10.1080/02724634.2024.2444405,Arctops umulunshi,Zambia,Paleozoic,Permian
JVP,"Infernodrakon hastacollis gen. et sp. nov., a new azhdarchid pterosaur from the Hell Creek Formation of Montana, and the pterosaur diversity of Maastrichtian North America",2025,10.1080/02724634.2024.2442476,Infernodrakon hastacollis,United States,Mesozoic,Cretaceous
JVP,"The first occurrence of Cainochoerus (Mammalia, Artiodactyla, Suidae) from the Late Miocene Lemudong’o Formation, Kenya",2025,10.1080/02724634.2025.2583028,,,,
JVP,A new large species of weakfish (Acanthuriformes: Sciaenidae: Cynoscion) from the Upper Miocene of Argentina,2025,10.1080/02724634.2025.2579188,Cynoscion cionei,Argentina,Cenozoic,Miocene
JVP,Taxonomic reassessment of archosaurs with dinosaurian affinities from the lower fauna of the Upper Triassic Maleri Formation of India and their significance,2025,10.1080/02724634.2025.2546434,,,,
JVP,"New species of the plesiadapiform Paromomys Gidley (Primates, Paromomyidae) from the Paleocene of southwestern Alberta, Canada",2025,10.1080/02724634.2025.2549081,Paromomys borealis,Canada,Cenozoic,Paleocene
JVP,"New species of the plesiadapiform Paromomys Gidley (Primates, Paromomyidae) from the Paleocene of southwestern Alberta, Canada",2025,10.1080/02724634.2025.2549081,Paromomys ignis,Canada,Cenozoic,Paleocene
JVP,"A new, diminutive, heterodont neosuchian from the Vaughn Member of the Blackleaf Formation (Cenomanian), southwest Montana, and implications for the paleoecology of heterodont neosuchians",2025,10.1080/02724634.2025.2542185,Thikarisuchus xenodentes,United States,Mesozoic,Cretaceous
JVP,"Jurassic teleost diversity and abundance changes, recorded by otolith and cephalopod statolith assemblages",2025,10.1080/02724634.2025.2513091,Pteralbula jurassica,United Kingdom,Mesozoic,Jurassic
JVP,"Jurassic teleost diversity and abundance changes, recorded by otolith and cephalopod statolith assemblages",2025,10.1080/02724634.2025.2513091,Pteralbula ventai,Lithuania,Mesozoic,Jurassic
JVP,"Jurassic teleost diversity and abundance changes, recorded by otolith and cephalopod statolith assemblages",2025,10.1080/02724634.2025.2513091,Protalbula dorsetensis,United Kingdom,Mesozoic,Jurassic
JVP,"Jurassic teleost diversity and abundance changes, recorded by otolith and cephalopod statolith assemblages",2025,10.1080/02724634.2025.2513091,Palealbula crenulata,United Kingdom,Mesozoic,Jurassic
JVP,"Jurassic teleost diversity and abundance changes, recorded by otolith and cephalopod statolith assemblages",2025,10.1080/02724634.2025.2513091,Juraelops prodigiosum,United Kingdom,Mesozoic,Jurassic
JVP,"Jurassic teleost diversity and abundance changes, recorded by otolith and cephalopod statolith assemblages",2025,10.1080/02724634.2025.2513091,Vodyanoi schwarzhansi,Poland,Mesozoic,Jurassic
JVP,"Jurassic teleost diversity and abundance changes, recorded by otolith and cephalopod statolith assemblages",2025,10.1080/02724634.2025.2513091,Vodyanoi stringeri,Poland,Mesozoic,Jurassic
JVP,"Jurassic teleost diversity and abundance changes, recorded by otolith and cephalopod statolith assemblages",2025,10.1080/02724634.2025.2513091,Archaeotolithus solidus,Poland,Mesozoic,Jurassic
JVP,"New fossil mammal remains from the Chorrillo Formation (Maastrichtian, Upper Cretaceous), Santa Cruz Province, Argentina",2025,10.1080/02724634.2025.2531263,Magallanodon terrwerr,Argentina,Mesozoic,Cretaceous
JVP,A new neosuchian crocodyliform from the Lower Cretaceous (Aptian–Albian) Holly Creek Formation of southwest Arkansas and its implications on the relationships of Goniopholididae,2025,10.1080/02724634.2025.2536843,Paarthurnax holliensis,United States,Mesozoic,Cretaceous
JVP,"A new itasuchid (Crocodyliformes, Notosuchia) from the Early Cretaceous of Mali and the ancient Paleo-Tegama river system of Gondwana",2025,10.1080/02724634.2025.2505473,Sissokosuchus maliensis,Mali,Mesozoic,Cretaceous
JVP,"A new armigatid fish (Clupeomorpha, Ellimmichthyiformes) from the Lower Cretaceous of northeastern Italy",2025,10.1080/02724634.2025.2514113,Armigatus simonettoi,Italy,Mesozoic,Cretaceous
JVP,A new species of Morsoravidae sheds light on beak and limb morphology in stem passerines,2025,10.1080/02724634.2025.2514121,Consoravis turdirostris,United States,Cenozoic,Eocene
JVP,"Oligocene flatfishes (Teleostei, Pleuronectiformes) of the Outer Carpathian Basin",2025,10.1080/02724634.2025.2520490,Oligobothus polonicus,Poland,Cenozoic,Oligocene
